,mae,rmse,smape,directional_accuracy
Naive,287.22458368200836,336.5119355522313,25.681242433982426,0.3769633507853403
Ridge,107.10423040129646,128.87372923552076,10.241579028457028,48.27225130890052
RandomForest,228.34997022826533,268.064977940823,22.46085488103454,49.00523560209424
XGBoost,216.45464812593977,250.67308142705764,21.832575494676796,48.167539267015705
