train_size,train_mae,val_mae
500,1.5814760968468122,98.75836860371241
685,2.042324906091272,194.96549985359337
871,2.360822416723931,47.29652116507911
1057,2.425306322550231,76.69245946205402
1242,2.4533280457588678,44.01907724994144
1428,3.9727549915785376,429.6290433890118
1614,4.434757693131829,294.47712675671613
1799,4.7431242563774,232.9121194059876
1985,6.048213498499418,395.8944544161014
2171,7.744929893696102,395.53677058968816
2356,8.259802543988608,359.2827325091787
2542,8.71450997350961,197.565052531461
2728,9.455771990312632,207.76234040474344
2913,12.505684519196338,305.12466084745336
3099,13.044436964119036,245.67342591688356
3285,14.171975913357096,272.6974337895005
3470,14.499662538754714,255.23625881020357
3656,14.440015760883028,226.31138874306464
3842,14.296175411339245,215.7669781319632
4027,14.34257570348137,131.97252230080062
4213,14.238887333010274,105.15529199157086
4399,14.122979186582114,50.677773741971514
4584,13.934978100222889,56.73941810728373
4770,13.782293282094855,45.24442639244882
4956,13.919824758140035,36.88678339598979
